zone,size,NLDAS_X_Grid,NLDAS_Y_Grid,count,weight,term,file
1,170,259,157,61,0.358823529411765,X259-Y157,Data/APCPsfc-X259-Y157.txt
2,149,258,156,68,0.456375838926175,X258-Y156,Data/APCPsfc-X258-Y156.txt
3,179,257,156,79,0.441340782122905,X257-Y156,Data/APCPsfc-X257-Y156.txt
4,90,257,157,57,0.633333333333333,X257-Y157,Data/APCPsfc-X257-Y157.txt
5,177,256,157,58,0.327683615819209,X256-Y157,Data/APCPsfc-X256-Y157.txt
6,150,256,156,65,0.433333333333333,X256-Y156,Data/APCPsfc-X256-Y156.txt
7,199,255,154,79,0.396984924623116,X255-Y154,Data/APCPsfc-X255-Y154.txt
8,308,253,153,73,0.237012987012987,X253-Y153,Data/APCPsfc-X253-Y153.txt
8,308,254,153,73,0.237012987012987,X254-Y153,Data/APCPsfc-X254-Y153.txt
9,352,255,152,100,0.284090909090909,X255-Y152,Data/APCPsfc-X255-Y152.txt
10,94,255,157,37,0.393617021276596,X255-Y157,Data/APCPsfc-X255-Y157.txt
11,257,254,156,87,0.33852140077821,X254-Y156,Data/APCPsfc-X254-Y156.txt
12,360,252,154,81,0.225,X252-Y154,Data/APCPsfc-X252-Y154.txt
13,267,252,155,84,0.314606741573034,X252-Y155,Data/APCPsfc-X252-Y155.txt
